text,intent,processed_text
I'm struggling with my math course,academic_difficulty,struggling math course
I think I'm struggling with my math course,academic_difficulty,think struggling math course
I'm finding it hard with my math course,academic_difficulty,finding hard math course
course my with I'm struggling math,academic_difficulty,course struggling math
I'm having trouble with my classes,academic_difficulty,trouble class
I think I'm having trouble with my classes,academic_difficulty,think trouble class
classes having my trouble I'm with,academic_difficulty,class trouble
The coursework is too difficult,academic_difficulty,coursework difficult
I believe The coursework is too difficult,academic_difficulty,believe coursework difficult
The too is coursework difficult,academic_difficulty,coursework difficult
These classes are way too hard,academic_difficulty,class way hard
I think These classes are way too hard,academic_difficulty,think class way hard
These classes are way too difficult,academic_difficulty,class way difficult
way too are hard These classes,academic_difficulty,way hard class
I can't understand the lectures,academic_difficulty,cant understand lecture
I believe I can't understand the lectures,academic_difficulty,believe cant understand lecture
I lectures can't understand the,academic_difficulty,lecture cant understand
My grades are dropping,academic_difficulty,grade dropping
I think My grades are dropping,academic_difficulty,think grade dropping
are grades dropping My,academic_difficulty,grade dropping
I failed my midterm exam,academic_difficulty,failed midterm exam
I believe I failed my midterm exam,academic_difficulty,believe failed midterm exam
exam I failed midterm my,academic_difficulty,exam failed midterm
I got a bad grade on my assignment,academic_difficulty,got bad grade assignment
I think I got a bad grade on my assignment,academic_difficulty,think got bad grade assignment
assignment I on my a grade got bad,academic_difficulty,assignment grade got bad
My GPA is falling,academic_difficulty,gpa falling
I think My GPA is falling,academic_difficulty,think gpa falling
My is GPA falling,academic_difficulty,gpa falling
I'm not doing well in any subject,academic_difficulty,well subject
I think I'm not doing well in any subject,academic_difficulty,think well subject
subject in any doing well I'm not,academic_difficulty,subject well
Calculus is impossible,academic_difficulty,calculus impossible
I believe Calculus is impossible,academic_difficulty,believe calculus impossible
I don't get this programming assignment,academic_difficulty,dont get programming assignment
I feel like I don't get this programming assignment,academic_difficulty,feel like dont get programming assignment
programming this assignment I don't get,academic_difficulty,programming assignment dont get
Physics equations are confusing,academic_difficulty,physic equation confusing
I believe Physics equations are confusing,academic_difficulty,believe physic equation confusing
confusing are Physics equations,academic_difficulty,confusing physic equation
Can't understand the chemistry lab,academic_difficulty,cant understand chemistry lab
I believe Can't understand the chemistry lab,academic_difficulty,believe cant understand chemistry lab
lab Can't understand chemistry the,academic_difficulty,lab cant understand chemistry
Literature analysis is too complex,academic_difficulty,literature analysis complex
I believe Literature analysis is too complex,academic_difficulty,believe literature analysis complex
analysis Literature complex too is,academic_difficulty,analysis literature complex
Falling behind in all classes,academic_difficulty,falling behind class
I feel like Falling behind in all classes,academic_difficulty,feel like falling behind class
in behind classes all Falling,academic_difficulty,behind class falling
Can't keep up with the coursework,academic_difficulty,cant keep coursework
I think Can't keep up with the coursework,academic_difficulty,think cant keep coursework
coursework with up Can't keep the,academic_difficulty,coursework cant keep
Too much homework to handle,academic_difficulty,much homework handle
I feel like Too much homework to handle,academic_difficulty,feel like much homework handle
homework much Too handle to,academic_difficulty,homework much handle
Assignments are piling up,academic_difficulty,assignment piling
I believe Assignments are piling up,academic_difficulty,believe assignment piling
piling are Assignments up,academic_difficulty,piling assignment
Studying isn't helping,academic_difficulty,studying isnt helping
I think Studying isn't helping,academic_difficulty,think studying isnt helping
Studying isn't assistanceing,academic_difficulty,studying isnt assistanceing
Professor goes too fast,academic_difficulty,professor go fast
I feel like Professor goes too fast,academic_difficulty,feel like professor go fast
Can't understand the teaching style,academic_difficulty,cant understand teaching style
I think Can't understand the teaching style,academic_difficulty,think cant understand teaching style
style teaching the Can't understand,academic_difficulty,style teaching cant understand
The TA isn't helpful,academic_difficulty,isnt helpful
I feel like The TA isn't helpful,academic_difficulty,feel like isnt helpful
The TA isn't supportful,academic_difficulty,isnt supportful
isn't The helpful TA,academic_difficulty,isnt helpful
Need extra help with lectures,academic_difficulty,need extra help lecture
I think Need extra help with lectures,academic_difficulty,think need extra help lecture
Need extra assistance with lectures,academic_difficulty,need extra assistance lecture
with extra lectures help Need,academic_difficulty,extra lecture help need
The material isn't explained well,academic_difficulty,material isnt explained well
I feel like The material isn't explained well,academic_difficulty,feel like material isnt explained well
well isn't The explained material,academic_difficulty,well isnt explained material
Can't pay my tuition fees,financial_concerns,cant pay tuition fee
I believe Can't pay my tuition fees,financial_concerns,believe cant pay tuition fee
tuition my Can't fees pay,financial_concerns,tuition cant fee pay
Tuition is due and I have no money,financial_concerns,tuition due money
I believe Tuition is due and I have no money,financial_concerns,believe tuition due money
Tuition is due and I have no cash,financial_concerns,tuition due cash
money is no Tuition due have I and,financial_concerns,money tuition due
I might get dropped for non-payment,financial_concerns,might get dropped nonpayment
I think I might get dropped for non-payment,financial_concerns,think might get dropped nonpayment
I dropped for non-payment might get,financial_concerns,dropped nonpayment might get
The fees are too expensive,financial_concerns,fee expensive
I feel like The fees are too expensive,financial_concerns,feel like fee expensive
expensive are fees too The,financial_concerns,expensive fee
I can't afford this semester,financial_concerns,cant afford semester
I feel like I can't afford this semester,financial_concerns,feel like cant afford semester
